text,Number of Hashtags,Hashtags,Length of tweet,isRetweet
"Small corner meetings organised in khadda colony and JJ colony, PS Kalindi Kunj and at transit camp, PS Govindpuri with the residents and respectables of the locality to boost their confidence. @DelhiPolice @LtGovDelhi https://t.co/vzTIjh6UJX",0,[],242,True
"Public Meeting: with general public in Lal Kuan, V P Singh, Vishwakarma colony in PS Pul Prahladpur. @DelhiPolice @LtGovDelhi https://t.co/1cGOjvSGoi",0,[],149,True
"From newspapers today:

'How Delhi cops swiftly ended riot rumours'
 https://t.co/TVUlr4hT8n
Download the TOI app now:
https://t.co/eoKhAysPaX",0,[],142,False
"In Newspapers today:

'Cops risk their lives to save many riot-hit in Delhi'
 https://t.co/jY4o2DaeO1
Download the TOI app now:
https://t.co/eoKhAysPaX",0,[],151,False
There were a spate of calls which were verified and all such calls were fake   These were rumours only. Pl don't pay heed to such calls and refrain from spreading such fake calls. @DelhiPolice @kumargyanesh24,0,[],208,True
"Do NOT believe in ANY Rumours regarding incidents in Sangam Vihar,Ambedkar Nagar,Hauz Rani or ANY other area.All Officers are alert and patrolling and STRICT Action will be taken against those spreading rumours
@CPDelhi @LtGovDelhi @DelhiPolice",0,[],244,True
"@LtGovDelhi 
@CPDelhi 
@DelhiPolice 
Concerted efforts were made over the evening by mischievous and anti-social elements to create panic in Delhi by spreading false rumours of rioting over various social media platforms..

In truth, there was nothing..",0,[],253,True
@Erroticmonkeeyy @LeingLegend @chill_insaan Everything is normal and peaceful. Pls don't spread unsubstantiated information.,0,[],124,False
"Joint CP, Western Range and @DCPWestDelhi clarifying that the situation is completely peaceful and normal. https://t.co/8rWmP1x2T1",0,[],130,False
Delhi Police is closely monitoring the Social Media accounts spreading fake news/rumours. Action will be taken. Please convey to police on Control Room Number 112.,0,[],163,False
"IMPORTANT  INFORMATION
Some unsubstantiated reports of tense situation in Delhi are being circulated on social media and messaging Apps. It is to reiterate that these are all rumours. Kindly don't pay attention to such rumours.",0,[],227,False
The situation is peaceful. North District police is alert and present in the area. Please dnt trust and spread any unverified news/ rumours. @DelhiPolice https://t.co/p8JTfFzDjs,0,[],177,True
"RUMOR IS THE BIGGEST ENEMY. 
A rumor has been noticed that there is some tension in Khyala-Raghubir Nagar area of West District. There is no truth behind it. All are requested to keep calm as the situation is absolutely normal &amp; peaceful. @LtGovDelhi @CPDelhi @ANI @DelhiPolice",0,[],281,True
@NavbharatTimes यह खबरें बिल्कुल निराधार हैं। पूरे क्षेत्र में शांति व्यवस्था बनी हुई है। @DCPWestDelhi,0,[],103,False
@indiatvnews Such reports are not true and completely denied. @DCPWestDelhi,0,[],75,False
Some unsubstantiated reports of tense situation in SouthEast &amp; West District are being circulated on social media. It is to reiterate that these are all rumours. Don't pay attention to such rumours. Delhi Police is closely monitoring accounts spreading rumours and taking action.,0,[],283,False
अफवाह फैलाने वालों से सख्ती से निपटा जा रहा है। दिल्ली के नागरिक अपनी ज़िम्मेदारी निभाएं और शांति बनाए रखने में मदद करें।,0,[],121,False
"ऐसा देखने में आया है कि कुछ अराजक तत्व ऐसी अफवाहें फैला रहे हैं जिससे शांति व्यवस्था में बाधा आए। लोगों को आगाह किया जाता है कि ना तो इन अफवाहों को फैलाएं और ना इन पर भरोसा करें। 
पूरी दिल्ली में कानून व्यवस्था पूर्णतः नियंत्रण में है और स्थिति शांत है।",0,[],253,False
"क्या आप मोबाइल ऐप से सेकंड हैंड सामान बेचने/खरीदने की सोच रहे हैं?

थोड़ी सतर्कता बरतिये। अगर इनमें से कुछ भी नजर आए, तो सचेत हो जाइए:
1. खरीदने/बेचने की हड़बड़ी।
2. तुरंत पैसे के लेन- देन पर ज़ोर।
3. लिंक या QR कोड से पेमेंट पर अड़े रहना।

(आज के अख़बारों में आया जागरुकता संदेश) https://t.co/JKL68I3Bng",0,[],304,False
"Are you selling or buying something second hand on Mobile Apps? 

Fraudsters may try to cheat you. Pay attention to warning signs: 'urgency of payment', 'immediate payment through link/QR-Code', 'insistance on Advance Payment', etc. 

Today's 'Awareness Message' in newspapers. https://t.co/b0UfOKn6eG",0,[],301,False
"@CPDelhi visited hospital and inquired about the health of DCP/Shahdara, Shri Amit Sharma. https://t.co/sX8MRfnk4V",0,[],114,False
https://t.co/rIf7eKycYG,0,[],23,False
"No rioting  incident during last 3 days , situation is normal &amp; under control . 38 deaths have been reported in these incidents .@HMOIndia @LtGovDelhi",0,[],154,True
123 cases have been registered so far .  25 arms have been recovered  . @HMOIndia @LtGovDelhi,0,[],93,True
"Rumours of stone pelting at a religious place by a mob chanting religious slogans in Dwarka are completely false. 
Public is advised not to pay attention to or spread rumours/ fake news on social media.
@DelhiPolice
@CPDelhi",0,[],224,True
https://t.co/KoFmNag2ZZ,0,[],23,False
No violence has taken place in the Jahangirpuri area. Do not spread or believe rumours. Senior Police officers are present in the area @DelhiPolice https://t.co/m3R8M95Ugj,0,[],171,True
"Aman Committee meetings with people of the area with appeals to maintain peace and harmony
@CPDelhi @LtGovDelhi @DelhiPolice https://t.co/rIGAB09jDx",0,[],148,True
Appeal for Peace https://t.co/IgcUvRVyZv,0,[],40,False
"#WATCH Delhi Commissioner of Police, Amulya Patnaik: Some news agency ran the news that Delhi Police said that it has not got adequate forces from MHA, this information is wrong. MHA is continually supporting us &amp; we have adequate forces. Delhi police denies this completely. https://t.co/C8r9Vtueeg",1,['WATCH'],303,True
"PTI story titled "" Shortage of forces led to violence aggravating: Delhi Police to MHA"" is totally baseless. CP, Delhi Police @CPDelhi has denied that no such information was given to MHA.",0,[],188,False
"Smt. Shalini Singh, IPS Jt.CP/Western Range along with Senior Officers of Dwarka District conducted foot patrolling in Dwarka District as an Area dominance and confidence building measure. 
@LtGovDelhi
@CPDelhi
@DelhiPolice https://t.co/OIzVSnsi31",0,[],247,True
"Senior Police Officers of Dwarka District conducted Flag march, as a confidence building measure, to maintain peace in the area.   
@DelhiPolice
@CPDelhi
@LtGovDelhi https://t.co/qDeYyDx6pS",0,[],189,True
